llat,llng,rlat,rlng,clat,clng,slat,slng,lslat,lslng,rslat,rslng,weight
38.9022998,-76.93261669999998,38.9022998,-76.93261669999998,38.9022998,-76.93261669999998,38.901765,-76.913306,38.901765,-76.913306,38.901765,-76.913306,#111100
38.9338421,-76.98446769999998,38.9338421,-76.98446769999998,38.9338421,-76.98446769999998,38.901765,-76.913306,38.901765,-76.913306,38.901765,-76.913306,#111100
38.92816699999999,-76.91580699999997,38.92816699999999,-76.91580699999997,38.92816699999999,-76.91580699999997,38.901765,-76.913306,38.901765,-76.913306,38.901765,-76.913306,#111100
38.9340002,-76.89663969999998,38.9340002,-76.89663969999998,38.9340002,-76.89663969999998,38.901765,-76.913306,38.901765,-76.913306,38.901765,-76.913306,#111100
38.8851122,-76.91580679999998,38.8851122,-76.91580679999998,38.8851122,-76.91580679999998,38.901765,-76.913306,38.901765,-76.913306,38.901765,-76.913306,#111100
38.8968555,-76.96021869999998,38.898062871127415,-76.96032938623866,38.89912959999999,-76.94678010000001,38.901765,-76.913306,38.901765,-76.913306,38.901765,-76.913306,#222200
38.8232582,-77.2811858,38.89161842741045,-77.28933247773656,38.8934448,-77.22164809999998,38.901765,-76.913306,38.86689638134454,-77.07669898579546,38.897211593713905,-77.08205276767478,#999900
38.984652,-77.09470920000001,38.95375079614186,-77.10585431273927,38.94844159053767,-77.08618973785649,38.901765,-76.913306,38.901765,-76.913306,38.901765,-76.913306,#888800
38.766411,-77.16825790000001,38.745642626555785,-77.1560959939037,38.8002425,-77.07118630000002,38.901765,-76.913306,38.901765,-76.913306,38.901765,-76.913306,#222200
38.9559442,-76.94553009999998,38.948889251870135,-76.9551758366265,38.9431412,-76.95006869999997,38.901765,-76.913306,38.901765,-76.913306,38.901765,-76.913306,#222200
39.0045544,-76.87552819999996,38.99905078346862,-76.86302380374624,38.9657249,-76.8802483,38.901765,-76.913306,38.901765,-76.913306,38.901765,-76.913306,#222200
38.8270428,-76.9123798,38.82851173178401,-76.92807839706195,38.8485264,-76.92404220000003,38.901765,-76.913306,38.901765,-76.913306,38.901765,-76.913306,#222200
39.078552974157205,-77.15680505108631,39.084899354644996,-77.15206860979329,39.084899354644996,-77.15206860979329,38.901765,-76.913306,38.901765,-76.913306,38.901765,-76.913306,#555500
38.85988585430335,-77.0647452439388,38.90975212689174,-77.07022608556285,38.90880664033359,-77.05165046586694,38.901765,-76.913306,38.901765,-76.913306,38.901765,-76.913306,#ffff00
38.846877843767786,-76.99883616966586,38.82471096381748,-76.97956824679493,38.8510927,-76.95688139999999,38.901765,-76.913306,38.901765,-76.913306,38.901765,-76.913306,#444400
